,track,title,polarity
138,139,Anchors Away,-0.014136904761904767
139,140,Something Like Laughter,0.03131313131313132
140,141,That's How the Story Ends,-0.007812499999999993
141,142,On Distant Shores,0.08603041695146958
142,143,The Cross of St. Andrew,0.17754820936639118
143,144,Hidden Track - Onstage Banter & Thanks,0.1846645524614275
144,145,Intro,0.4
145,146,The Old West,0.15555555555555556
146,147,Handbook For the Sellout,0.09428571428571428
147,148,0 Meet 15,-0.0428884078884079
148,149,Cannonball - Live,0.002518978605935114
149,150,Blue Comb '78,0.04131532718489241
150,151,At Least I'm Not Like All Those Other Old Guys - Live,0.0879323308270677
151,152,You Probably Shouldn't Move Here,-0.0624595461190856
152,153,Canada,0.26109022556390976
153,154,When I Go Out,0.29793650793650794
154,155,See the Flames Begin to Crawl - Live,-0.14323110642775988
155,156,Vultures,0.1392387242387243
156,157,You Can't Handle This,0.35800865800865805
157,158,American Kryptonite - Live,0.1036096256684492
158,159,The Phantom Mullet,0.09774891774891775
159,160,The Medley,0.13189780005569482
160,161,A New Hope,0.03679653679653679
161,162,World Without End,0.28112508059316565
162,163,Every New Day / Last Goodbye,0.22883454106280202
163,164,Against a Sea of Troubles,-0.03636363636363636
164,165,So Far,0.10767195767195771
165,166,Zen & the Art of Xenophobia,-0.21250000000000002
166,167,We Own the Skies,0.15357142857142855
167,168,Somone Else's Problem,0.025
168,169,I Am Jack's Smirking Revenge,-0.002777777777777768
169,170,To Start a Fire,0.026388888888888892
170,171,Battle Dancing Unicorns with Glitter,0.14785714285714288
171,172,Into Your Veins,-0.016106442577030835
172,173,It Was a Dark & Stormy Night,-0.13333333333333336
173,174,I've Seen the Sun,-0.046204278812974474
174,175,Blizzard & Bygones,-0.35873015873015873
175,176,Boomerang,0.1142857142857143
176,177,God Hates Flags,0.14375
177,178,Blizzards and Bygones (All Frost and No Thaw Version),-0.3351851851851852
178,179,Into the Storm,0.3907407407407408
179,180,To Astoria!,0.194055095996732
180,181,Between the Pavement and the Stars,0.17413793103448275
